Question	 Annotator Answers	 Golden Answers	 tp	 fp	 fn	 pre	 rec	 f1
How many states are in Mexico?	[4]	[31]	0	1	1	0.0	0.0	0.0
How many theories did Albert Einstein come up with?	[0]	[12]	0	1	1	0.0	0.0	0.0
Is horse racing a sport?	[false]	[true]	0	1	1	0.0	0.0	0.0
Is Pluto really a planet?	[false]	[true]	0	1	1	0.0	0.0	0.0
Was Sigmund Freud married?	[false]	[true]	0	1	1	0.0	0.0	0.0
What form of government is found in South Africa?	[Annotation [uri=[http://ko.dbpedia.org/resource/%EB%8B%A8%EC%9D%BC_%EA%B5%AD%EA%B0%80, http://rdf.freebase.com/ns/m.01fpfn, http://en.wikipedia.org/wiki/Unitary_government, http://dbpedia.org/resource/Unitary_state, http://ko.wikipedia.org/wiki/??_??, http://en.wikipedia.org/wiki/Unitry_government, http://pl.dbpedia.org/resource/Pa?stwo_unitarne, http://pt.wikipedia.org/wiki/Estado_unit%C3%A1rio, http://dbpedia.org/resource/Unitary_republic, http://es.wikipedia.org/wiki/Estado_unitario, http://fr.dbpedia.org/resource/%C3%89tat_unitaire, http://pt.dbpedia.org/resource/Estado_unitário, http://fr.dbpedia.org/resource/État_unitaire, http://nl.dbpedia.org/resource/Eenheidsstaat, http://dbpedia.org/resource/Unitarian_state, http://dbpedia.org/resource/Unitarian_country, http://cs.dbpedia.org/resource/Unit%C3%A1rn%C3%AD_st%C3%A1t, http://dbpedia.org/resource/Unitary_State, http://id.dbpedia.org/resource/Negara_kesatuan, http://dbpedia.org/resource/Unitary_(state), http://en.wikipedia.org/wiki/Unitary_(state), http://en.wikipedia.org/wiki/Unitary_Republic, http://en.wikipedia.org/wiki/Unitary_system, http://en.wikipedia.org/wiki/Democratic_unitary_state, http://en.wikipedia.org/wiki/Unitary_republic, http://pl.wikipedia.org/wiki/Pa?stwo_unitarne, http://en.wikipedia.org/wiki/Unitary_monarchy, http://en.wikipedia.org/wiki/Unitary_State, http://www.wikidata.org/entity/Q179164, http://dbpedia.org/resource/Unitry_government, http://dbpedia.org/resource/Unitary_government, http://dbpedia.org/resource/Unitary_monarchy, http://en.wikipedia.org/wiki/Unitarian_country, http://cs.wikipedia.org/wiki/Unitární_stát, http://en.wikipedia.org/wiki/Unitary_States, http://en.wikipedia.org/wiki/Unitary_System, http://pl.dbpedia.org/resource/Pa%C5%84stwo_unitarne, http://id.wikipedia.org/wiki/Negara_kesatuan, http://ja.dbpedia.org/resource/????, http://pt.dbpedia.org/resource/Estado_unit%C3%A1rio, http://cs.wikipedia.org/wiki/Unit%C3%A1rn%C3%AD_st%C3%A1t, http://fr.wikipedia.org/wiki/État_unitaire, http://ko.wikipedia.org/wiki/%EB%8B%A8%EC%9D%BC_%EA%B5%AD%EA%B0%80, http://dbpedia.org/resource/Democratic_unitary_state, http://en.wikipedia.org/wiki/Unitary_state, http://en.wikipedia.org/wiki/Unitarian_state, http://es.dbpedia.org/resource/Estado_unitario, http://pl.wikipedia.org/wiki/Pa%C5%84stwo_unitarne, http://dbpedia.org/resource/Unitary_Republic, http://d-nb.info/gnd/4231116-0, http://fr.wikipedia.org/wiki/%C3%89tat_unitaire, http://pt.wikipedia.org/wiki/Estado_unitário, http://it.wikipedia.org/wiki/Stato_unitario, http://ko.dbpedia.org/resource/??_??, http://en.wikipedia.org/wiki/Unitary_%28state%29, http://it.dbpedia.org/resource/Stato_unitario, http://de.dbpedia.org/resource/Einheitsstaat, http://eu.dbpedia.org/resource/Estatu_unitario, http://el.dbpedia.org/resource/??????_??????, http://eu.wikipedia.org/wiki/Estatu_unitario, http://ja.wikipedia.org/wiki/????, http://el.dbpedia.org/resource/%CE%95%CE%BD%CE%B9%CE%B1%CE%AF%CE%BF_%CE%BA%CF%81%CE%AC%CF%84%CE%BF%CF%82, http://wikidata.dbpedia.org/resource/Q179164, http://yago-knowledge.org/resource/Unitary_state, http://dbpedia.org/resource/Unitary_system, http://nl.wikipedia.org/wiki/Eenheidsstaat, http://dbpedia.org/resource/Unitary_States, http://dbpedia.org/resource/Unitary_System, http://dbpedia.org/resource/Unitary_%28state%29, http://ja.dbpedia.org/resource/%E5%8D%98%E4%B8%80%E5%9B%BD%E5%AE%B6, http://de.wikipedia.org/wiki/Einheitsstaat, http://ja.wikipedia.org/wiki/%E5%8D%98%E4%B8%80%E5%9B%BD%E5%AE%B6, http://cs.dbpedia.org/resource/Unitární_stát]]]	[Annotation [uri=[http://dbpedia.org/resource/Unitary_state]]]	1	0	0	1.0	1.0	1.0
What is the largest state in the United States?	[Annotation [uri=[http://dbpedia.org/resource/University_of_South_Carolina,_Columbia, http://en.wikipedia.org/wiki/University_Of_South_Carolina, http://dbpedia.org/resource/Sarge_frye_field, http://en.wikipedia.org/wiki/South_Carolina_University, http://de.dbpedia.org/resource/University_of_South_Carolina, http://rdf.freebase.com/ns/m.03tw2s, http://en.wikipedia.org/wiki/Sarge_frye_field, http://dbpedia.org/resource/USC_Columbia, http://id.wikipedia.org/wiki/University_of_South_Carolina, http://fr.wikipedia.org/wiki/Universit%C3%A9_de_Caroline_du_Sud, http://en.wikipedia.org/wiki/USC%E2%80%93Columbia, http://yago-knowledge.org/resource/University_of_South_Carolina, http://dbpedia.org/resource/South_Carolina_College_of_Pharmacy., http://id.dbpedia.org/resource/University_of_South_Carolina, http://en.wikipedia.org/wiki/University_of_South_Carolina_at_Columbia, http://es.dbpedia.org/resource/Universidad_de_Carolina_del_Sur, http://fr.dbpedia.org/resource/Universit%C3%A9_de_Caroline_du_Sud, http://en.wikipedia.org/wiki/University_of_South_Carolina_School_of_Medicine, http://en.wikipedia.org/wiki/Thomas_Cooper_Library, http://wikidata.dbpedia.org/resource/Q1024426, http://dbpedia.org/resource/South_Carolina_University, http://dbpedia.org/resource/South_Carolina%E2%80%93Columbia, http://dbpedia.org/resource/University_of_South_Carolina%E2%80%93Columbia, http://sws.geonames.org/4599390/, http://pt.wikipedia.org/wiki/Universidade_da_Carolina_do_Sul, http://en.wikipedia.org/wiki/College_of_South_Carolina, http://dbpedia.org/resource/Thomas_Cooper_Library, http://en.wikipedia.org/wiki/University_of_South_Carolina%E2%80%93Columbia, http://en.wikipedia.org/wiki/University_of_South_Carolina_Library, http://ja.dbpedia.org/resource/??????????, http://dbpedia.org/resource/University_of_South_Carolina_at_Columbia, http://dbpedia.org/resource/University_of_South_Carolina–Columbia, http://en.wikipedia.org/wiki/The_University_of_South_Carolina, http://dbpedia.org/resource/University_of_South_Carolina, http://en.wikipedia.org/wiki/Yemassee_Journal, http://en.wikipedia.org/wiki/South_Carolina_College_of_Pharmacy., http://pt.dbpedia.org/resource/Universidade_da_Carolina_do_Sul, http://dbpedia.org/resource/The_USC, http://en.wikipedia.org/wiki/USC–Columbia, http://www.wikidata.org/entity/Q1024426, http://dbpedia.org/resource/College_of_South_Carolina, http://dbpedia.org/resource/USC-Columbia, http://ja.wikipedia.org/wiki/??????????, http://dbpedia.org/resource/Yemassee_Journal, http://en.wikipedia.org/wiki/South_Carolina_College, http://en.wikipedia.org/wiki/South_Carolina–Columbia, http://en.wikipedia.org/wiki/The_USC, http://dbpedia.org/resource/University_of_South_Carolina_-_Columbia, http://dbpedia.org/resource/South_Carolina–Columbia, http://de.wikipedia.org/wiki/University_of_South_Carolina, http://it.dbpedia.org/resource/University_of_South_Carolina, http://dbpedia.org/resource/University_of_South_Carolina_Board_of_Trustees, http://en.wikipedia.org/wiki/University_of_South_Carolina–Columbia, http://en.wikipedia.org/wiki/University_of_South_Carolina,_Columbia, http://en.wikipedia.org/wiki/University_of_South_Carolina_-_Columbia, http://en.wikipedia.org/wiki/University_of_South_Carolina_Columbia, http://dbpedia.org/resource/USC–Columbia, http://dbpedia.org/resource/University_Of_South_Carolina, http://ja.wikipedia.org/wiki/%E3%82%B5%E3%82%A6%E3%82%B9%E3%82%AB%E3%83%AD%E3%83%A9%E3%82%A4%E3%83%8A%E5%A4%A7%E5%AD%A6, http://dbpedia.org/resource/South_Carolina-Columbia, http://en.wikipedia.org/wiki/USC-Columbia, http://dbpedia.org/resource/University_of_South_Carolina-Columbia, http://en.wikipedia.org/wiki/South_Carolina_College_of_Pharmacy, http://ja.dbpedia.org/resource/%E3%82%B5%E3%82%A6%E3%82%B9%E3%82%AB%E3%83%AD%E3%83%A9%E3%82%A4%E3%83%8A%E5%A4%A7%E5%AD%A6, http://d-nb.info/gnd/10523-5, http://fr.dbpedia.org/resource/Université_de_Caroline_du_Sud, http://en.wikipedia.org/wiki/University_of_South_Carolina%2C_Columbia, http://es.wikipedia.org/wiki/Universidad_de_Carolina_del_Sur, http://dbpedia.org/resource/USC%E2%80%93Columbia, http://en.wikipedia.org/wiki/University_of_South_Carolina, http://en.wikipedia.org/wiki/University_of_South_Carolina-Columbia, http://fr.wikipedia.org/wiki/Université_de_Caroline_du_Sud, http://dbpedia.org/resource/University_of_South_Carolina_Columbia, http://en.wikipedia.org/wiki/USC_Columbia, http://en.wikipedia.org/wiki/South_Carolina%E2%80%93Columbia, http://dbpedia.org/resource/South_Carolina_College_of_Pharmacy, http://en.wikipedia.org/wiki/South_Carolina-Columbia, http://dbpedia.org/resource/University_of_South_Carolina_School_of_Medicine, http://dbpedia.org/resource/South_Carolina_College, http://yago-knowledge.org/resource/University_of_South_Carolina_School_of_Medicine, http://dbpedia.org/resource/University_of_South_Carolina_Library, http://dbpedia.org/resource/University_of_South_Carolina%2C_Columbia, http://it.wikipedia.org/wiki/University_of_South_Carolina, http://dbpedia.org/resource/The_University_of_South_Carolina, http://en.wikipedia.org/wiki/University_of_South_Carolina_Board_of_Trustees]]]	[Annotation [uri=[http://dbpedia.org/resource/Alaska]]]	0	1	1	0.0	0.0	0.0
What is the longest river in the world?	[Annotation [uri=[http://en.wikipedia.org/wiki/Chadakoin_River, http://yago-knowledge.org/resource/Chadakoin_River, http://rdf.freebase.com/ns/m.0r8ptn3, http://wikidata.dbpedia.org/resource/Q14706216, http://dbpedia.org/resource/Chadakoin_River, http://www.wikidata.org/entity/Q14706216, http://dbpedia.org/resource/Chadakoin_river, http://en.wikipedia.org/wiki/Chadakoin_river]]]	[Annotation [uri=[http://dbpedia.org/resource/Irtysh_River]]]	0	1	1	0.0	0.0	0.0
Which building after the Burj Khalifa has the most floors?	[Annotation [uri=[http://wikidata.dbpedia.org/resource/Q6022927, http://dbpedia.org/resource/Three_Empires_Tower, http://en.wikipedia.org/wiki/Three_Empires_Tower, http://www.wikidata.org/entity/Q6022927]]]	[Annotation [uri=[http://dbpedia.org/resource/102_Incheon_Tower]]]	0	1	1	0.0	0.0	0.0
What is the wavelength of indigo?	[4.5e-07]	[4.5e-07]	1	0	0	1.0	1.0	1.0
What was the name of the famous battle in 1836 in San Antonio?	[San Antonio]	[Annotation [uri=[http://dbpedia.org/resource/Battle_of_the_Alamo]]]	0	1	1	0.0	0.0	0.0
What were the names of the three ships used by Columbus?	[]	[http://dbpedia.org/resource/Santa_María_(ship), http://dbpedia.org/resource/Pinta_(ship), http://dbpedia.org/resource/Niña]	0	0	3	0.0	0.0	0.0
What were the original 13 British colonies?	[]	[Annotation [uri=[http://dbpedia.org/resource/Connecticut_Colony]], Annotation [uri=[http://dbpedia.org/resource/Southern_Colonies]], Annotation [uri=[http://dbpedia.org/resource/Province_of_South_Carolina]], Annotation [uri=[http://dbpedia.org/resource/Province_of_Massachusetts_Bay]], Annotation [uri=[http://dbpedia.org/resource/Province_of_Georgia]], Annotation [uri=[http://dbpedia.org/resource/Province_of_New_Jersey]], Annotation [uri=[http://dbpedia.org/resource/Province_of_New_Hampshire]], Annotation [uri=[http://dbpedia.org/resource/Chesapeake_Colonies]], Annotation [uri=[http://dbpedia.org/resource/Province_of_Pennsylvania]], Annotation [uri=[http://dbpedia.org/resource/Middle_Colonies]], Annotation [uri=[http://dbpedia.org/resource/Delaware_Colony]], Annotation [uri=[http://dbpedia.org/resource/Colony_of_Virginia]], Annotation [uri=[http://dbpedia.org/resource/New_England_Colonies]]]	0	0	13	0.0	0.0	0.0
When did Muhammad die?	[]	[0632-06-08]	0	0	1	0.0	0.0	0.0
When was the De Beers company founded?	[http://dbpedia.org/resource/Rhodes,_Cecil, http://de.dbpedia.org/resource/Cecil_Rhodes, http://en.wikipedia.org/wiki/Cecil_J_Rhodes_PC, http://dbpedia.org/resource/Rhodes%2C_Cecil, http://en.wikipedia.org/wiki/Cecil_J._Rhodes_PC, http://cs.wikipedia.org/wiki/Cecil_Rhodes, http://en.wikipedia.org/wiki/Rhodes%2C_Cecil, http://dbpedia.org/resource/Cecil_J_Rhodes, http://dbpedia.org/resource/Cecil_John_Rhodes_PC, http://en.wikipedia.org/wiki/Cecil_J._Rhodes, http://dbpedia.org/resource/Cecil_J._Rhodes, http://en.wikipedia.org/wiki/Cecil_John_Rhodes_PC, http://es.wikipedia.org/wiki/Cecil_Rhodes, http://dbpedia.org/resource/CJ_Rhodes, http://dbpedia.org/resource/Cecil_John_Rhodes, http://dbpedia.org/resource/Cecil_J._Rhodes_PC, http://dbpedia.org/resource/Rhodes,_Cecil_John, http://rdf.freebase.com/ns/m.016gnp, http://id.wikipedia.org/wiki/Cecil_Rhodes, http://pt.wikipedia.org/wiki/Cecil_Rhodes, http://en.wikipedia.org/wiki/Cecil_John_Rhodes%2C_PC, http://dbpedia.org/resource/Rhodes%2C_Cecil_John, http://cs.dbpedia.org/resource/Cecil_Rhodes, http://ja.dbpedia.org/resource/???????, http://ja.wikipedia.org/wiki/???????, http://fr.dbpedia.org/resource/Cecil_Rhodes, http://dbpedia.org/resource/Cecil_John_Rhodes%2C_PC, http://it.wikipedia.org/wiki/Cecil_Rhodes, http://en.wikipedia.org/wiki/CJ_Rhodes, http://yago-knowledge.org/resource/Cecil_Rhodes, http://eu.dbpedia.org/resource/Cecil_Rhodes, http://en.wikipedia.org/wiki/Cape_to_Cairo_Red_Line, http://pl.dbpedia.org/resource/Cecil_Rhodes, http://dbpedia.org/resource/Cape_to_Cairo_Red_Line, http://data.europa.eu/euodp/jrc-names/Cecil_Rhodes, http://dbpedia.org/resource/Cecil_J._Rhodes%2C_PC, http://en.wikipedia.org/wiki/Arthur_Rhodes_%28Dutch%29, http://fr.wikipedia.org/wiki/Cecil_Rhodes, http://de.wikipedia.org/wiki/Cecil_Rhodes, http://dbpedia.org/resource/Cecil_John_Rhodes,_PC, http://viaf.org/viaf/3250843, http://it.dbpedia.org/resource/Cecil_Rhodes, http://ko.wikipedia.org/wiki/??_??, http://en.wikipedia.org/wiki/Arthur_Rhodes_(Dutch), http://en.wikipedia.org/wiki/Cecil_John_Rhodes, http://id.dbpedia.org/resource/Cecil_Rhodes, http://ko.dbpedia.org/resource/%EC%84%B8%EC%8B%A4_%EB%A1%9C%EC%A6%88, http://ja.wikipedia.org/wiki/%E3%82%BB%E3%82%B7%E3%83%AB%E3%83%BB%E3%83%AD%E3%83%BC%E3%82%BA, http://www.wikidata.org/entity/Q19825, http://pl.wikipedia.org/wiki/Cecil_Rhodes, http://es.dbpedia.org/resource/Cecil_Rhodes, http://nl.wikipedia.org/wiki/Cecil_Rhodes, http://ko.dbpedia.org/resource/??_??, http://en.wikipedia.org/wiki/Cecil_J._Rhodes,_PC, http://en.wikipedia.org/wiki/Rhodes,_Cecil, http://ja.dbpedia.org/resource/%E3%82%BB%E3%82%B7%E3%83%AB%E3%83%BB%E3%83%AD%E3%83%BC%E3%82%BA, http://en.wikipedia.org/wiki/Rhodes%2C_Cecil_John, http://dbpedia.org/resource/Cecil_rhodes, http://ko.wikipedia.org/wiki/%EC%84%B8%EC%8B%A4_%EB%A1%9C%EC%A6%88, 20000, http://dbpedia.org/resource/Arthur_Rhodes_(Dutch), http://dbpedia.org/resource/Cecil_Rhodes, http://d-nb.info/gnd/117527017, http://nl.dbpedia.org/resource/Cecil_Rhodes, http://en.wikipedia.org/wiki/Cecil_Rhodes, http://wikidata.dbpedia.org/resource/Q19825, http://en.wikipedia.org/wiki/Cecil_rhodes, http://dbpedia.org/resource/Arthur_Rhodes_%28Dutch%29, http://en.wikipedia.org/wiki/Cecil_John_Rhodes,_PC, http://en.wikipedia.org/wiki/Cecil_J._Rhodes%2C_PC, http://eu.wikipedia.org/wiki/Cecil_Rhodes, http://pt.dbpedia.org/resource/Cecil_Rhodes, http://dbpedia.org/resource/Cecil_J._Rhodes,_PC, http://en.wikipedia.org/wiki/Cecil_J_Rhodes, http://dbpedia.org/resource/Cecil_J_Rhodes_PC, http://en.wikipedia.org/wiki/Rhodes,_Cecil_John]	[1888]	0	76	1	0.0	0.0	0.0
When was John Adams born?	[1735-10-19, 1735-10-30]	[1735-10-30]	1	1	0	0.5	1.0	0.6666666666666666
